"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00211390","716999",45.377702,-93.173879,1975,"CEDAR",10.6150748172358
"USC00218323","753648",44.261094,-95.704576,1983,"TRACY",6.35203797961753
"USC00211691","690463",45.463971,-94.394322,1977,"COLLEGEVILLE ST JOHN'S",12.8365061133446
"USC00212721","526616",44.458298,-93.161604,1947,"FARIBAULT",18.5423478441558
"USC00213076","914305",44.5791667,-94.3341667,1993,"GAYLORD",9.33062089656133
"USC00219168","461818",43.5877762,-95.6616669,1988,"WORTHINGTON RAD KWOA",5.04860138468332
"USC00215400","815616",45.015157,-95.888871,1988,"MILAN 1NW",12.2392432495245
"USC00211227","922210",45.6658333,-93.3072222,1993,"CAMBRIDGE",13.412378538111
"USC00217502","453845",45.5680542,-93.5527802,1989,"SANTIAGO 3 E",16.1070782507946
"USC00211886","721468",47.73852,-96.44879,1979,"CROOKSTON",13.502587373397
"USC00214994","438738",45.196755,-96.289996,2001,"MADISON WWTP",23.7187080836002
"USW00014910","500760",45.87627,-95.34021,1949,"ALEXANDRIA CHANDLER FLD",4.25483437281609
"USC00215433","174087",44.789407,-93.602179,1891,"MINNEAPOLIS WB DWTN",32.1181036443186
"USC00474375","174075",44.979965,-93.263836,1877,"LA CROSSE WB CITY",205.730373292037
"USC00216565","174078",44.24108,-96.26172,1891,"PIPESTONE",25.7738196991447
"USC00211691","174081",45.45742,-94.322478,1896,"COLLEGEVILLE ST JOHN'S",14.6022353494711
"USC00215638","174074",45.12194,-95.04306,1892,"MORRIS W CNTRL RSCH & OUTREACH",83.2358269736725
"USC00211691","592486",45.543642,-94.322053,1965,"COLLEGEVILLE ST JOHN'S",6.73636324878476
"USC00218700","907684",48.1969444,-94.8097222,2008,"WASKISH 4NE",28.3669511815639
"USR0000MFER","898017",47.812337,-91.62893,2004,"FERNBERG MINNESOTA",17.9287703381539
"USC00210355","460821",43.7155571,-93.0866699,1989,"AUSTIN WASTE WTP FACILITY",11.3478821719356
"USW00014926","372997",45.282397,-94.07601,1941,"ST CLOUD RGNL AP",29.1729450655854
"USC00217149","735613",46.434856,-96.354219,1981,"ROTHSAY",7.25883706746178
"USC00210018","720156",47.51564,-96.31032,1979,"ADA",28.6187553895458
"USC00217227","743909",46.8693271,-96.4734276,1980,"SABIN 1 ESE",16.7192707982166
"USC00215298","526147",46.925498,-92.906037,1955,"MEADOWLANDS 9 S",14.6013325682502
"USW00014925","800443",43.898979,-92.628245,1986,"ROCHESTER INTL AP",10.9376140705982
"USC00210157","448552",44.047954,-94.288549,1945,"AMBOY",20.7257524422774
"USW00014927","564544",44.944167,-93.093611,1940,"ST PAUL DWTN AP",3.26009302858428
"USC00211227","574976",45.428063,-93.203997,1960,"CAMBRIDGE",14.4697132603016
"USC00216007","574826",44.007465,-93.958564,1959,"NORTH MANKATO",18.6852125956337
"USC00217405","710029",44.274575,-93.998474,1979,"ST PETER",5.9066623247887
"USC00213455","566434",48.79262,-96.99863,1958,"HALLOCK",4.86265388916249
"USC00212698","554327",43.652162,-94.401026,1957,"FAIRMONT",5.26142198249009
"USC00213311","922618",44.7913889,-95.2602778,1993,"GRANITE FALLS",23.1211852476073
"USC00217502","478913",45.515,-93.71028,2001,"SANTIAGO 3 E",5.00871689660869
"USC00213290","478414",43.5558333,-92.3869444,1990,"GRAND MEADOW",21.8630362493323
"USC00210252","505271",48.3602778,-96.5702778,1992,"ARGYLE",19.1243695334547
"USC00132977","453695",43.506845,-93.65853,1999,"FOREST CITY 2 NNE",24.8374848018248
"USC00213290","441095",43.536578,-92.519043,1994,"GRAND MEADOW",19.0475126795784
"USC00214793","435767",45.933896,-94.251564,2000,"LITTLE FALLS 2NNE",10.6178610484717
"USC00449263","174033",38.665397,-78.459452,1901,"WOODSTOCK 2 NE",26.4867349921059
"USC00131402","800555",43.034697,-92.505738,1984,"CHARLES CITY",13.7832765960961
"USC00287865","764562",40.565104,-74.337371,1891,"SANDY HOOK",30.2447139076085
"USC00204104","739462",46.393837,-90.231009,1975,"IRONWOOD",8.59898762995348
"USC00473038","699490",43.672965,-91.25917,1975,"GENOA DAM 8",11.6319828625964
"CA006105460","570970",45.3099,-75.086938,1922,"MORRISBURG",44.3709031337442
"USC00310977","603451",36.216795,-81.674552,1966,"BOONE",0.704487562969177
"USC00308839","174026",42.887535,-77.281698,1893,"VICTOR 2NW",18.6820288903656
"USW00093725","174034",38.885037,-77.053836,1896,"WASHINGTON",2.25610741305017
"USC00305235","242485",40.816765,-73.06622,1915,"MEDFORD",6.97795262496395
"USC00315356","600344",35.831985,-82.749861,1966,"MARSHALL",8.22325201716456
"USC00210515","575694",48.729348,-94.598901,1961,"BAUDETTE",2.43220062717768
"USC00396462","276587",43.391517,-97.989691,1922,"PARKSTON 8 ENE",13.4597507253255
"USW00014944","950792",43.546022,-96.731265,1954,"SIOUX FALLS",4.64793111841366
"USC00126580","950791",38.909587,-86.392814,1928,"OOLITIC PURDUE EX FM",13.9785566457121
"USW00014920","938852",43.950618,-91.27766,2013,"LA CROSSE MUNI AP",8.1813688940512
"USC00279091","943842",43.920071,-71.682753,2013,"WENTWORTH",19.6335746384556
"USC00279091","943864",43.920071,-71.682753,2013,"WENTWORTH",19.6335746384556
"USC00144559","421965",38.971645,-95.309834,1941,"LAWRENCE",5.26547285247683
"USC00132724","423963",43.401348,-94.839153,1909,"ESTHERVILLE 4E",7.43292875359521
"USW00093725","174024",38.940111,-77.051088,1895,"WASHINGTON",3.87273346183426
"CA007031360","380647",45.491995,-76.066552,1938,"CHELSEA",22.2445267188631
"USC00137844","424338",43.193619,-94.939817,1944,"SPENCER 1 N",17.068073122236
"USC00131889","379360",41.348354,-95.95163,1942,"COUNCIL BLUFFS 6 NE",11.8030195888627
