Identification,Phenophase,Phenophase detail,Month,Day,Year,Country,State,County,Habitat,,Elevation,Latitude,Longitude,Map details,Location info,URL,,,,
TENN-V-0177549,fl,4,7,22,1979,usa,tennesse,mongomery,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634224,,,,
TENN-V-0177550,fl,1,7,13,1993,usa,tennesse,overton,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634807,,,,
1478,fruiting,1,10,1,1982,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375511,,,,
5579,fruiting,4,10,5,1983,usa,illinois,cook,growing in abandoned prarie,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375512,,,,
1489,fruiting,3,10,5,1983,usa,illinois,cook,growing in abandoned prarie,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375513,,,,
4011,fruiting,4,10,5,1983,usa,illinois,cook,abandoned prarie,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375514,,,,
1480,fruiting,4,10,7,1985,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375515,,,,
1479,fruiting,4,8,27,1987,usa,illinois,lee,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375516,,,,
3599,fl,4,7,11,1990,usa,illinois,kankakee,,,,,,,off roads 450 and 950,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375517,,,,
8527,leaves,,7,2,1996,usa,illinois,cook,Railroad ballast next to pond,,,,,,"Burnham Prairie, Burnham and Calumet Park. Two blocks north of State St. at Alice St. Collected on east side of tracks opposite prairie, above large marsh.",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375518,,,,
8528,fl,4,7,2,1996,usa,illinois,cook,Railroad ballast next to pond,,,,,,"Burnham Prairie, Burnham and Calumet Park. Two blocks north of State St. at Alice St. Collected on east side of tracks opposite prairie, above large marsh.",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375519,,,,
8847,fruiting,2,9,10,1996,usa,illinois,cook,Mesic prairie,,,,,,Sundrop Prairie. 15600 South Kedzie Ave. Markham. Collected in east section north of main path.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375520,,,,
8846,leaves,,9,10,1996,usa,illinois,cook,Mesic prairie,,,,,,Sundrop Prairie. 15600 South Kedzie Ave. Markham. Collected in east section north of main path.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375521,,,,
10318,leaves,,6,6,2000,usa,illinois,cook,Chicago Botanic Garden Woodland Nursery,,,,,,Glencoe. Growing in Garden Woodland Nursery.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375522,,,,
10319,fl,4,6,6,2000,usa,illinois,cook,Chicago Botanic Garden Woodland Nursery,,,,,,Glencoe. Growing in Garden Woodland Nursery.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375523,,,,
11240,fruiting,3,9,19,2003,usa,wisconsin,shboygan,"Growing densely along roadside; growing on boarder of road at the top of hill, about 50 m from sand dunes",,180 m,43.6726,-87.7153,NAD-83,Near Sheboygan Falls near county road V.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375524,,,,
16057,fl,2,7,18,2011,usa,illinois,cook,,,,,,,Dixon Prairie,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375525,,,,
14142,fl,4,8,9,2008,usa,minnesota,douglas,common in ditch,,394 m,45.84,-95.75,WGS-84,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4392135,,,,
CALVIN000245,fruiting,6,10,1,2011,usa,michigan,kent,"dry to somewhat moist, roadsides",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603154,,,,
CALVIN000246,leaves,,9,23,1992,usa,michigan,kent,Under small willow on moist soil in marsh on E side of garden.,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603155,,,,
CALVIN000247,leaves,,9,30,1992,usa,michigan,kent,In marsh area on E side of garden.,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603156,,,,
CALVIN000248,fl,4,7,6,1966,usa,south dakota,clay,Adjacent to a temporary slough in a lowland prairie community,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603157,,,,
CALVIN000249,leaves,,5,23,1964,usa,michigan,kent,Open field in sandy soil on a raised portion of the lot,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603158,,,,
CALVIN000250,leaves,3,6,29,1959,usa,south dakota,marshall,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603159,,,,
CALVIN000251,fl,2,7,30,1966,usa,south dakota,clay,In ditch along RR tracks,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603160,,,,
CALVIN000252,fl,2,7,12,1939,usa,michigan,washtenaw,roadside,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603161,,,,
CALVIN000253,fl,4,8,1,1966,usa,south dakota,clay,abandonned pasture,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603162,,,,
CALVIN000254,fl,1,7,8,1966,usa,south dakota,clay,bludds of missouri river,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5603163,,,,
HCHM01422,fl,5,7,9,1975,usa,michigan,ottawa,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5612471,,,,
HCHM01500,fl,1,7,,1972,usa,california,Mariposa,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5612549,,,,
HLSD001147,fl,2,7,19,2011,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5620725,,,,
HLSD001734,fl,1,7,18,2004,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5621342,,,,
HLSD001735,leaves,,7,18,2004,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5621344,,,,
ALBC000532,fl,3,6,24,1949,usa,michigan,calhoun,in field,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625324,,,,
ALBC000533,fl,3,7,15,1949,usa,michigan,calhoun,"weedy, sandy, grassy pasture",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625325,,,,
ALBC000534,leaves,,8,31,1991,usa,michigan,calhoun,beech-maple forest,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625326,,,,
ALBC000536,fruiting,2,8,12,1880,usa,michigan,fallasburg,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625328,,,,
ALBC000537,fl,2,7,1,1950,usa,wisconsin,juneau,railroad embankment,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625329,,,,
MSC0204917,fl ,3,7,20,2010,usa,michigan,ingham,dry meadow,,,424551,842220.9,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159365,,,,
MSC0240987,fl ,2,7,8,1965,usa,michigan,clinton,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159368,,,,
MSC0243085,fl,1,7,15,1967,usa,michigan,delta,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159451,,,,
MSC0243054,fl,5,7,5,1964,usa,michigan,oakland,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159452,,,,
MSC0243053,leaves,,7,18,1967,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159455,,,,
MSC0243021,fl,3,7,,,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159456,,,,
MSC0243026,fl,3,7,8,1965,usa,michigan,clinton,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159457,,,,
MSC0108290,fruiting,4,10,2,1973,usa,michigan,ingham,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159458,,,,
MSC0243068,fl,1,7,31,1979,usa,michigan,mason,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159462,,,,
MSC0243066,fl,4,7,3,1949,usa,michigan,gratiot,pasture,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159464,,,,
MSC0243061,leaves,,7,8,1982,usa,michigan,kalamazoo,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159466,,,,
MSC0243070,fl,2,,,,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159467,,,,
MSC0243077,fl,3,7,15,1954,usa,michigan,allegan,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159489,,,,
MSC0243005,fl,1,7,7,1969,usa,michigan,kalamazoo,,,,stated but not readable,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159536,,,,
MSC0243023,fl,4,7,12,1975,usa,michigan,clinton,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159552,,,,
MSC0241000,fl,3,7,17,1960,usa,michigan,baraga,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159531,,,,
MSC0243089,leaves,,8,12,1979,usa,mighican,bay,,,,4336,8343,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159491,,,,
MSC0243058,fl,3,7,8,1982,usa,michigan,kalamazoo,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159519,,,,
MSC0243024,fl,1,8,17,,usa,,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159551,,,,
MSC0243087,fruiting,5,10,4,1969,usa,michgan,ingham,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159493,,,,
MSC0243056,fl,2,7,6,1988,usa,michigan,cheboygan,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159521,,,,
MSC0243080,fl,2,7,4,1980,usa,michigan,berrien,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159486,,,,
MSC0243051,fl,1,7,22,1961,usa,michigan,washtenaw,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159510,,,,
MSC0243008,fl,2,8,2,1989,,,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159546,,,,
MSC0243074,fl,3,7,20,1953,usa,michigan,otego,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159479,,,,
DES00012301,fl,3,6,24,1975,usa,missouri,johnson,open field,,,38.75505,-93.726646,plus minus 598  m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=3081838,,,,
DES00018146,fl,1,6,27,1979,usa,new york,rockland,"second growth mixed woodland, aciduleus soil",,168 m,41.153428,-74.043,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=3081870,,,,
KHD00001821,fl,1,,,,usa,nebraska,peru,waste places,,,40.477368,-95.731373,"plus mins 1170 m, WGS84",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=3285876,,,,
KHD00001820,fl,3,7,8,1958,usa,pennsylvania,northumberland,,,,40.979855,-76.850798,"plus minus 5241 m, WGS84",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=3285875,,,,
KHD00001818,fl,2,7,7,1932,usa,nebraska,peru,low damp places,,,40.477368,-95.731373,"plus minus 1170 m, WGS84",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=3285873,,,,
1481,fl,3,,,,usa,illinois,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375370,,,,
1478,fruiting,1,10,1,1982,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375511,,,,
5579,fruiting,4,10,5,1983,usa,illinois,cook,growing in abandoned prairie,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375512,,,,
1489,fruiting ,3,10,5,1983,usa,illinois,cook,abandoned prairie site,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375513,,,,
6043,fruiting,4,10,5,1983,usa,illinois,cook,abandoned prairie site,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375514,,,,
1480,fruiting,4,10,7,1985,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375515,,,,
1479,fruiting,5,8,27,1987,usa,illinois,lee,,,,,,,nachusa grassland,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375516,,,,
3599,fl,4,7,11,1990,usa,illinois,kankakee,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375517,,,,
8527,leaves,,7,2,1996,usa,illinois,cook,railroad ballast next to pond,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375518,,,,
8528,fl,4,7,2,1996,usa,illinois,cook,railroad ballast next to pond,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375519,,,,
8847,fruiting,2,9,10,1996,usa,illinois,cook,mesic prairie,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375520,,,,
8846,leaves,,9,10,1996,usa,illinois,cook,mesic prairie,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375521,,,,
10318,leaves,,6,6,2000,usa,illinois,cook,Chicago Botanic Garden Woodland Nursery,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375522,,,,
10319,fl,5,6,6,2000,usa,illinois,cook,Chicago Botanic Garden Woodland Nursery,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375523,,,,
11240,fruiting,3,9,19,2003,usa,wisconsin,sheboygan,"Growing densely along roadside; growing on boarder of road at the top of hill, about 50 m from sand dunes",,180 m,43.6726,-87.7153,NAD-83,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4375524,,,,
EMC008605,fl,1,8,21,1972,usa,michigan,washtenas,"in flower bed, full sun, clay loam soil",,,42.25133,-83.631138,"plus minus 110m, WGS84",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8507257,,,,
EMC008612,fl,4,8,6,1963,usa,michigan,ostego,"Sandy, gravelly roadisde, sun to partial shade.",,,44.935404,-84.394283,"plus minus 388 m, WGS84",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8508298,,,,
EMC008604,fl,5,8,9,1967,usa,michigan,washtenaw,on edge of field. dry and open,,,42.257394,-83.612376,"plus minus 586m, WGS84",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8510477,,,,
MSC0163064,fl,3,7,18,1972,usa,michigan,ingham,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8953650,,,,
MSC0163065,fl,1,7,15,2011,usa,michigan,ingham,open field,,,424250.8,-842839.3,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8953692,,,,
11542,fl,3,7,3,1931,usa,new hampshire,hillsborough,field,,,42.8667,-71.95,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330693,,,,
236708,fl,4,6,22,1997,usa,minnesota,clearwater,on a gravel path in a disturbed habitat,,,46,-94,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330694,,,,
12592,fl,4,7,28,1913,usa,new hampshire,rockingham,sunny roadside,,,42.8806,-71.3273,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330695,,,,
266648,fl,2,7,9,2009,usa,wisconsin,walworth,"NW margin of somewhat elevated, marshy wetland, disturbed glacial terrain; with Salix, Cornus, and Ulmus.",,,42.4979,-88.3137,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330696,,,,
239427,fruiting,1,9,19,2000,usa,illinois,mchenry,"Old field vegetation around impounded bass pond, above level of valley floor, spring - seep fed, calcareous.",,240 m,42.2656,-88.2861,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330697,,,,
22370,fruiting,2,9,11,1910,usa,new hampshire,hillsborough,roadside,,,42.8667,-71.95,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330698,,,,
20280,fl,2,7,8,1956,usa,west virginia,Tyler,roadside,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330699,,,,
73619,fruiting,7,8,0,1923,usa,new york,warren,,,,43.7312,-73.8193,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330700,,,,
51805,fl,2,7,25,1954,usa,new york,albany,roadside,,475 m,42.5152,-74.1343,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330701,,,,
27712,fl,1,7,12,1883,usa,massachusetts,norfolk,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330702,,,,
85505,fl,1,0,0,1840,usa,pennsylvania,lehigh,,,,40.6259,-75.3705,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330720,,,,
111301,leaves,,7,24,1967,usa,pennsylvania,butler,side of hill in wooded area,,396 m ,40.1126,-79.3825,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330721,,,,
130501,fruiting,2,7,27,1977,usa,minnesota,norman,"weedy prairie remnant, disturbed slope",,,47.1667,-96.25,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330722,,,,
267227,fl,3,7,7,2010,usa,delaware,sussex,roadside,,,30.9997,-76.4811,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330723,,,,
161262,fruiting,1,9,6,1980,usa,maryland,baltimore,roadside,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330724,,,,
269162,fruiting,3,9,22,1976,usa,wisconsin,trempealeau,roadside weeds in dry ditch,,,44.45,-91.3,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19330725,,,,
82153,fl,1,7,24,1966,usa,north carolina,watauga,roadside,,1036 m,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19331070,,,,
115402,fl,6,7,19,1971,usa,tennesse,hamblem,roadbank,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19331071,,,,
44235,fl,1,7,24,1958,usa,north carolina,avery,woodland - roadside boarder,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19331072,,,,
44234,fl,5,7,24,1958,usa,north carolina,avery,woodland - roadside boarder,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19331073,,,,
129805,fl,2,7,28,1977,usa,tennesse,cocke,open field,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19331074,,,,
270186,fl,4,7,15,2013,usa,maryland,caroline,edge of wet roadside ditch,,,38.7268,-75.9131,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19333812,,,,
272322,fl,3,6,8,2013,usa,delaware,sussex,roadside,,,38.4558,-75.2061,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19338507,,,,
PH00055280,fl,4,7,10,1941,usa,pennsylvania,centre,old orchard,,,40.971463,-77.89595,"WGS84, plus minus 5847 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267462,,,,
PH00055281,fl,4,7,1,1941,usa,pennsylvania,centre,old field,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267463,,,,
PH00055282,fl,1,7,8,1939,usa,pennsylvania,centre,waste fields,,,40.876981,-77.788272,plus minus 2295m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267464,,,,
PH00055283,fl,1,7,24,1950,usa,pennsylvania,blair,dry mountain roadside,,,40.540844,78.465189,plus minus 1246 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267465,,,,
PH00055284,fl,3,7,20,1948,usa,pennsylvania,huntingdon,weedy bottom,,,40.260079,-78.076394,"WGS84, plus minus 3036 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267466,,,,
PH00055285,fl,1,8,8,1947,usa,pennsylvania,huntingdon,waste place around abandoned buildings,,,40.33397,-78.018442,plus minus 502 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267467,,,,
PH00055286,fruiting,3,7,31,1937,usa,pennsylvania,centre,roadside,,,40.793395,-77.860001,plus minus 4082 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267468,,,,
PH00055287,fruiting,1,9,8,1954,usa,pennsylvania,adams,dry field,,,39.915878,-77.036464,plus minus 752 m,Point placed along the E bank of Conewago Creek ca. 1.5 miles SE of Hampton.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267469,,,,
PH00055288,fl,4,6,26,1941,usa,pennsylvania,adams,roadside,,,39.942351,-77.07502,plus minus 1083 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267470,,,,
PH00055289,fruiting,1,8,28,1941,usa,pennsylvania,bradford,waste place,,,41.605164,-76.644331,plus minus 3131 m,"Point placed in State Game Lands 12, Overton Township.",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267471,,,,
PH00055290,fl,3,7,28,1956,usa,pennsylvania,bradford,roadeside waste area in alluvial bottom,,,41.964148,-76.516091,plus minus 939 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267472,,,,
PH00055291,fl,1,6,19,1959,usa,pennsylvania,bradford,roadside and edge of wooded bank,,,41.668698,-76.730475,plus minus 647 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267473,,,,
PH00055292,leaves,,8,7,1958,usa,pennsylvania,columbia,roadside thicket,,,41.081011,-76.588482,"WGS84, plus minus 736 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267474,,,,
PH00055293,leaves,,6,10,1949,usa,pennsylvania,cumberland,grassy place around pond,,,40.128422,-77.407208,"WGS84, plus minus 771 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267475,,,,
PH00055294,leaves,,7,13,1949,usa,pennsylvania,cumberland,marshy bottom,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267476,,,,
PH00055295,leaves,,6,10,1940,usa,pennsylvania,dauphin,dry field along creek,,,40.364161,-76.930148,plus minus 126 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267477,,,,
PH00055296,fl,4,6,30,1952,usa,pennsylvania,dauphin,abandoned field,,140 m,40.548967,-76.853875,plus minus 745 m ,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267478,,,,
PH00055297,fl,1,6,24,1952,usa,pennsylvania,dauphin,,,171 m,40.567865,-76.76516,"WGS84, plus minus 333 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267479,,,,
PH00055298,fl,3,7,28,1953,usa,pennsylvania,dauphin,school lot,,122 m,40.272043,-76.716099,WGS84,Georeference transferred from dupe. at CM.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267480,,,,
PH00055299,fl,2,6,13,1959,usa,pennsylvania,dauphin,margin of pastured meadow,,,40.213424,-76.640337,plus mius 995 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267481,,,,
PH00055300,fl,2,6,13,1959,usa,pennsylvania,dauphin,waste ground,,,40.206598,-76.772028,plus minus 1622 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267482,,,,
PH00055301,fl,1,6,20,1939,usa,pennsylvania,juniata,rocky stream bed,,130 m,40.645823,-76.961522,plus minus 952 m,Point placed along the West Branch of Mahantango Creek ca. 2.5 miles ENE of Oriental. Note: This is across the line into Snyder County.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267483,,,,
PH00055302,fl,1,7,20,1908,usa,pennsylvania,lebanon,,,,40.247593,-76.46941,"WGS84, plus minus 1060 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267484,,,,
PH00055303,fl,1,6,27,1954,usa,pennsylvania,lebanon,abandoned iron plant,,143 m,40.34398,-76.446629,"WGS84, plus minus 546 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267485,,,,
PH00055304,fl,3,7,17,1940,usa,pennsylvania,montour,wooded ridge,,,41.051684,-76.703589,plus minus 618 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267486,,,,
PH00055305,fl,1,6,18,1952,usa,pennsylvania,northumberland,brushy alluvial bottom,,,41.125083,-76.820835,"WGS84, plus minus 1074 m",Point placed along Delaware Run ca. 3.5 miles NE of Watsontown.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267487,,,,
PH00055306,fl,3,8,13,1952,usa,pennsylvania,perry,roadside and edge of waste field,,,40.347438,-77.207022,"WGS84, plus minus 1155 m",Point placed 3 miles NW of Shermans Dale.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267488,,,,
PH00055307,fl,1,6,21,1939,usa,pennsylvania,snyder,roadside,,175 m,40.701473,-77.332096,plus minus 383,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267489,,,,
PH00055308,fruiting ,5,8,19,1947,usa,pennsylvania,armstrong,bottom field,,,40.847162,-79.642719,plus minus 607 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267490,,,,
PH00055309,fruiting,1,8,12,1954,usa,pennsylvania,beaver,brushy bottom along small stream,,,40.714854,-80.166555,plus minus 619 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267491,,,,
PH00055310,fl,1,7,2,1939,usa,pennsylvania,bedford,swampy meadow,,384 m ,40.200802,-78.556128,"WGS84, 3600 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267492,,,,
PH00055311,fl,2,7,25,1946,usa,pennsylvania,bedford,swale,,450 m ,40.28823,-78.507516,"WGS84, plus minus 1194 m ",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267493,,,,
PH00055312,fl,3,7,3,1947,usa,pennsylvania,bedford,swale,,421 m,40.063059,-78.662595,"WGS84, plus minus 1108 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267494,,,,
PH00055313,fl,2,7,22,1947,usa,pennsylvania,bedford,roadside,,323 m,39.828821,-78.495855,"WGS84, plus minus 607 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267495,,,,
PH00055314,fl,3,7,22,1947,usa,pennsylvania,bedford,woodlander boarder,,277 m,39.72529,-78.438903,"WGS84, plus minus 1119 m ",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267496,,,,
PH00055315,fl,2,6,26,1962,usa,pennsylvania,bedford,roadside,,274 m,40.136866,-78.269399,"WGS84, plus minus 515 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267497,,,,
PH00055316,fl,4,6,30,1946,usa,pennsylvania,butler,stony slope,,,41.060573,-80.040521,plus minus 1161 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267498,,,,
PH00055317,fl,3,6,25,1951,usa,pennsylvania,butler,thicket on waste land,,,40.861174,-79.914494,plus minus 1244 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267499,,,,
PH00055318,leaves,,6,20,1939,usa,pennsylvania,snyder,open roadside,,,40.64681,-76.966308,plus minus 753 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267500,,,,
PH00055319,fl,2,6,25,1939,usa,pennsylvania,snyder,dry roadside,,,40.824871,-77.205261,"WGS84, plus minus 3010 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267501,,,,
PH00055320,fl,2,8,0,1914,usa,pennsylvania,sullivan,,,,41.455392,-76.280437,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267502,,,,
