Identification,Phenophase,Phenophase detail,Month,Day,Year,Country,State,County,Habitat,,Elevation,Latitude,Longitude,Map details,Location info,URL,,,,
00375275,fruiting,2,9,23,1920,usa,massachusetts,middlesex,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23084178,,,,
00375308,fl,2,6,30,1895,usa,massachusetts,norfolk,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23084211,,,,
01035970,fl,2,9,,1902,usa,maine,fayette,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241410,,,,
01035994,fl,1,6,,1898,usa,maine,wells,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=23241434,,,,
v0018521WIS,fruiting,4,8,7,1959,usa,wisconsin,columbia,sandy dry prarie,,,43.55177716,-89.3695071,plus minus 569m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4959942,,,,
v0018518WIS,fl,3,6,26,1959,usa,wisconsin,chippewa,Cattail Marsh along the flood flats of the river. Water lilies. Sagittaria.,,,45.08154222,-91.25779244,plus minus 1138m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5240325,,,,
v0018519WIS,fl,1,7,2,1950,usa,wisconsin,chippewa,open field,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5037793,,,,
v0018520WIS,fl,1,6,18,1886,usa,wisconsin,columbia,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5088649,,,,
v0018522WIS,fl,3,5,28,1987,usa,wisconsin,columbia,"Along cornfield, around parking lot, at edges of prairie. Very common.Perennial from creeping rhizomes. Stem and leaves below softly pubescent. Leaves broadly lanceolate with orange midvein and strong transverse veins. Flowers in umbels on pubescent pedicels. Corolla purple, horns claw-like, hoods flanked by horns. Hoods and horns pale orange. Buds and calyxes hairy.",,,43.41705938,-89.43303057,plus minus 1138m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5022741,,,,
v0018523WIS,leaves,,9,25,1960,usa,wisconsin,columbia,,,,43.4801005,-89.0362694,plus minus 1138m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5235266,,,,
BRIT439071,fruiting,1,8,6,1959,usa,michigan,berrien,"old roadside, elevated above creek bottom. dark grey sand with cinders and gravel",,183 meters,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=27017999,,,,
BRIT439075,leaves,,6,12,1968,usa,tennessee,rutherford,"old field, clay soil",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=27018004,,,,
BRIT439076,fl,5,6,12,1968,usa,tennessee,rutherford,"old field, clay soil",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=27018005,,,,
BRIT439077,leaves,,6,12,1968,usa,tenessee,rutherford,"old field, clay soil",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=27018006,,,,
v0389900WIS,fruiting,3,8,10,2018,usa,wisconsin,burnett,Early successional pine barrens.,,297 m,45.9052,-92.55425,plus minus 20 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=25200528,,,,
3529144,fl,3,6,24,2011,usa,missouri,Clark,,,150 m,40.2564,-91.5342,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=27141622,,,,
491066,fruiting ,4,8,28,1967,usa,south dakota,custer,"On 5% south slope; rocky clay soil; ditch bottom in grassland with Agropyron smithii, Bromus japonicus, La[tuca] se[rriola], and Scpa",,869 m,43.8218,102.8562,plus minus 1609m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=1487507,,,,
CHRB0088524,leaves,,8,24,2020,usa,new jersey,sussex,steep dry slope along roadside with a Northwestern aspect,,229 m,41.032739,-74.639426,"WGS84, plus minus 44m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=26973472,,,,
CHRB0088525,leaves,,9,7,2020,usa,new jersey,morris,turf near wooded strip in residential area amongst tall grass,,293 m,40.9448,-74.6198,"WGS84, plus minus 40 m ",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=26973473,,,,
CHRB0088526,leaves,,9,9,2020,usa,new jersey,morris,"exceedingly dry, sandy, disturbed soil in Pitch Pine-Scrub Oak forest near river, beside ATV trail",,247 m,41.0348,-74.493,"WGS84, plus minus 225 m ",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=26973474,,,,
Collector: W. S. Moffatt,fl,3,7,25,1897,usa,illinois,dupage,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432415,,,,
"Collector: O. E. Lansing, Jr.",fruiting,4,9,7,1906,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432434,,,,
