"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00367322","PH00388837",40.64441,-75.997268,1986,"READING 4 NNW",24.8088495649391
"USC00368596","PH00388840",40.917238,-75.111565,2011,"E STROUDSBURG",13.4879421900455
"USC00368400","PH00388847",40.644407,-75.198585,2011,"SPRINGTOWN 1 NNE",10.5594342158362
"PO000008506","PH00388848",40.644407,-40.644407,2011,"HORTA (AZORES)",1055.45142627813
"USW00014712","PH00388850",40.184817,-75.797855,2011,"READING RGNL AP",25.0317421019403
"USW00014712","PH00388851",40.184817,-75.797855,2011,"READING RGNL AP",25.0317421019403
"USW00014712","PH00388852",40.184817,-75.797855,2011,"READING RGNL AP",25.0317421019403
"USW00014712","PH00388853",40.208537,-75.783608,2011,"READING RGNL AP",23.6104761792403
"USW00054786","PH00388859",40.468294,-75.12063,2011,"DOYLESTOWN AP",15.3453329553788
"USC00367938","PH00388865",40.31789,-75.207663,2011,"SELLERSVILLE",9.85743208737927
"USC00367938","PH00388866",40.31789,-75.207663,2011,"SELLERSVILLE",9.85743208737927
"USC00367938","PH00388867",40.31789,-75.207663,2011,"SELLERSVILLE",9.85743208737927
"USC00367938","PH00388868",40.3504,-75.166662,2011,"SELLERSVILLE",12.4208872521993
"USC00367938","PH00388869",40.3504,-75.166662,2011,"SELLERSVILLE",12.4208872521993
"USC00135493","PH00767103",43.208315,-94.970099,1942,"MILFORD 4 NW",26.0128118807203
"USC00254812","PH00767106",40.626394,-96.963084,1928,"LINCOLN UNIV FARM",30.0701384795147
"USW00014838","PH00767107",41.281943,-96.235301,1868,"MARQUETTE",918.693113605894
"USC00440765","PH00767110",36.686686,-80.284492,1893,"BLACKSBURG",63.7293527273136
"USC00217277","PH00767117",44.057859,-91.662661,1901,"ST CHARLES",34.4694400936928
"USC00327704","PH00767118",48.288888,-99.437635,1909,"RUGBY",41.6639002344348
"USC00274556","PH00767122",44.387839,-71.173131,1908,"LANCASTER",34.2140584439613
"USC00193505","PH00767124",42.658425,-71.137001,1901,"HAVERHILL",12.8585112548731
"USC00194525","PH00767126",41.635571,-70.316616,1927,"MARSTON MILLS",11.051260365824
"USW00014757","01527289",41.710289,-73.938028,2011,"POUGHKEEPSIE AP",10.4953570389434
"USC00309292","3529196",42.211305,-74.137902,1891,"W PT",92.4314031015961
"USC00305816","3529034",40.55493,-74.286308,1891,"NEW YORK WB CITY",27.8909050505263
"USC00307282","3529165",40.86069,-73.448025,1919,"ROSLYN",16.9862661283374
"USC00281335","3529166",40.642048,-74.441201,1940,"CANOE BROOK",13.4790634619191
"USW00013752","3529053",38.96944,-76.24281,2010,"ANNAPOLIS US NAVAL ACADEMY ASO",21.4371245354506
"USC00368905","PAC0055176",41.605164,-76.644331,1941,"TOWANDA 1 S",23.2943955470025
"USC00367477","PAC0055177",41.424098,-78.402093,1949,"RIDGWAY",28.946044144023
"CA006158350","PAC0055189",41.138604,-77.423401,1851,"TORONTO",324.573071345371
"USW00014751","PAC0055190",40.261278,-77.02816,1950,"HARRISBURG CAPITAL CITY AP",15.4310761998456
"USW00014751","PAC0055191",40.155026,-76.98701,1950,"HARRISBURG CAPITAL CITY AP",13.2166992476847
"USC00366174","PAC0055205",40.502292,-78.083624,1953,"NEFFS MILLS 3 NE",23.0848224375533
"USC00362459","PAC0055206",40.276356,-77.747329,1953,"EAST WATERFORD 3 E",18.6276573382386
"USW00014736","PAC0055207",40.199024,-78.014474,1953,"ALTOONA BLAIR CO AP",27.9992429811031
"USC00366225","PAC0055208",40.096587,-77.863491,1953,"NEWBURG 3 W",21.8080403444329
"USW00014736","PAC0055209",40.349044,-78.017949,1957,"ALTOONA BLAIR CO AP",25.9068056331541
"USW00014860","PAC0055212",41.970611,-80.365322,1952,"ERIE INTL AP",19.4309046066717
"USW00014741","PAC0055213",41.092528,-78.828085,1947,"BROOKVILLE FAA AP",23.656556448093
"USC00364992","PAC0055216",40.380705,-77.679967,1955,"LEWISTOWN",24.7163645239906
"USC00364992","PAC0055219",40.758948,-77.355822,1955,"LEWISTOWN",26.3049396511297
"USC00362459","PAC0055220",40.413452,-77.817654,1955,"EAST WATERFORD 3 E",23.7433935399152
"USC00306774","PAC0055223",41.349344,-74.719912,1963,"PORT JERVIS",5.06199219811545
"USC00361806","PAC0055224",41.697563,-78.189016,1975,"COUDERSPORT 4 NW",18.1857067188092
"USC00366198","PAC0055225",40.699883,-77.330038,1939,"NEW BLOOMFIELD",33.4528044728366
"USC00368249","PAC0055227",40.198936,-78.937478,1956,"SOMERSET MAIN STREET",23.7574316402989
"USC00182280","PAC0055228",39.834076,-78.774626,1952,"CUMBERLAND",20.5763299118863
"USC00369408","PAC0055229",41.933883,-77.485651,1956,"WELLSBORO 4 SW",27.2245127008848
"USC00368888","PAC0055230",41.445633,-79.800091,1964,"TITUSVILLE WTR WKS",22.4634229821596
"USC00280690","PAC0055381",38.938318,-74.897079,1932,"BELLEPLAIN STN FOREST",34.7817926398082
